name,message
养狗勾是终生理想,卧槽 崩了[哆啦A梦吃惊][哆啦A梦吃惊]
快乐剧粉,恭喜恭喜
月白0401墙头草,恭喜恭喜！要幸福！！！
夜昼Realkill,恭喜！一直爱你！永远爱你！
没有史努比的夏天,小棉袄降临！
X-九千七,卧槽卧槽，什么情况
彭砰嘭胖,祝福 要幸福呀
MINGQINli,恭喜老胡喜得千金🎉要一直幸福下去[doge]
AsukaShin1386,陪伴我长大的老胡！我第一个网名就叫胡椒粉！祝福！[鼓掌][鼓掌][鼓掌]
就是个富婆哈哈哈,恭喜！然后这边压力给到彭于晏！[兔子]
心念你好,支持胡歌[太开心]
Brianvvviii,糟糕，胡歌急了，彭于晏估计也要急，那我不得也要急了。
小林爱吃烧烤,我焯 男神都有娃了[泪][泪][泪]
笙辰歌,啊？？？？！！！！！
末了齋主i,恭喜恭喜！
潇湘妃子的喵喵小天使,恭喜@胡歌 [心][心][心][心][心][心][心]
猪正经,祝福！[2023]今天是个好日子，祝福老胡及家人未来顺遂，平安[好运福灵剂]
余沛杉,恭喜哥哥[爱你][爱你][爱你]
新浪电视,恭喜恭喜！
康康这是谁的小可爱,🎉恭喜老大，贺喜老大🎉 欢迎小公主！[打call][打call][打call]
酸酸柠檬甜甜圈,祝福老大 喜提兔宝[锦鲤附体]
一晓而过,恭喜我老胡，不容易啊[允悲]
霖耕绿,恭喜老大[好爱哦][好爱哦]
我有点懵圈,恭喜老大！！！！[心]
kid浩然,恭喜恭喜
无线线线线线网吖,恭喜！！！！！
Pisces_玲妞,[哇][哇]恭喜恭喜[哇][哇]
我真服进了,恭喜恭喜我胡哥
笛里梅音,这个新年大礼我喜欢，不过最重要的是赶紧挣钱养家多多拍戏[笑而不语] http://t.cn/A69EBSSm
斯尉特,彭于晏不急我也不急，现在我就看彭于晏态度了[喵喵]
-PsyP-,震惊之余更多是对偶像的祝福🙏
Jerry-橘子,恭喜恭喜[喜]
胡歌的小迷妹0806,是我是我
回头吓人66723,恭喜🎉
周末守望者,恭喜[泪][泪][泪]
ff_长岛冰茶,恭喜恭喜，彭于晏在家瑟瑟发抖……
关外野店小二,恭喜老大
啵啵开心肖肖乐,恭喜恭喜！！！
许是古月许是木叔,百感交集 千言万语 只能化成一句 恭喜老大
花酒水茶,很突然，有点震惊，但更多的想说恭喜！！！！！！！
曼曼也可,想了好久不知道说些什么[苦涩]，恭喜老胡，恭喜我歌[喜]
JIMMYYIP_夏日,恭喜恭喜[哇][哇]
沐浴sunshine的小橙子,是可可爱爱的兔宝宝啊[抱一抱]恭喜老胡～[赞啊]
啊wu专业啃大饼呢,恭喜喜得千金！要幸福呀
JYHWhisper小五,恭喜
念w念,恭喜恭喜[爱你]幸福平安
欠揍跳跳蛙,惊呆了！老铁！[跪了]
瑀曉彤,恭喜 [贊啊]祝福胡歌及家人女兒身體健康 平安
gapQAQ,我叼
幻想系庄子睇报纸,恭喜你老胡🎉
popynicole90997,恭喜🎉
沈达威,[爱你][爱你][爱你]恭喜老胡升级 
倪宝的小猪仔,恭喜胡歌[打call][打call]
王燕华EVA,恭喜🎉
MtututuM,恭喜🎉
姜山多椒u,#胡歌涨粉近70万# 
每天五杯咖啡,恭喜啊！！！
txj181031,恭喜胡歌
忧离--锦,我惊了
葱葱冲8,老大要幸福呀，祝福你们[心]小阔爱快快长大，一定颜值好高
梦见呼噜噜,恭喜老胡[泪][泪][泪][泪]
q_江南,老胡 怎么这么低调
你的微笑浅浅,恭喜老大
古月戀上歌,啊啊啊啊啊啊啊恭喜老胡！！！
47kar-,卧槽 你有妻女挺好的 但是 也太突然了啊[笑cry]
Sean_1220,祝福
终难望,爷青结了！！！
姜泗钰,恭喜
琛QIM,恭喜老胡达成了新的人生目标[打call][打call]
豆沙包吃两个,首先是恭喜，然后是缓缓，最后是祝福[干杯]
你比草莓可爱,以后不能自称胡歌老婆了[苦涩][苦涩][苦涩]老大要幸福啊
旧梦浅霜,恭喜
iceblue908-,OOOOO that’s why這個是嗎？@胡歌  你也太保密了[哆啦A夢微笑][哆啦A夢微笑]恭喜🎈🎈🎉🎊 http://t.cn/A69EB249
DamJie-,牛啊牛啊[并不简单]
而什刹海已醒来,谁能告诉我孩子他妈是谁
暗香幽幽08,恭喜，恭喜，一切都是最好的安排！
珠珠珠珠Lin,满满祝福！！找到幸福、喜得千金[送花花][送花花][送花花]
邦元私募,恭喜胡歌！胡辣汤们终于放心了！
没事吃点薯条,nb[good]
爺爺爺爺来也,恭喜逍遥哥哥[心]
是夕夕的熙_evil,恭喜我歌当爸爸啦！期待更好的作品！
六六凌Yi,[打call][打call][打call][打call]恭喜恭喜！！！
扎扎545,恭喜恭喜[心]
酸梅也很甜,啊啊啊啊啊啊啊啊啊啊啊啊啊我胡有小公主了👸🏻
为你心海沉浮,恭喜我胡迎来人生的新阶段[爱你]
叭叭叭叭叭叭叭叭叭叭叭个啥_,[爱你][爱你][爱你][爱你]祝福，粉了十多年了，老大也该结婚了，这下好了，也不用我们催婚催生了[悲伤][悲伤][悲伤]孩子长大了
壮士你有喜了_,恭喜恭喜！我还是不着急！彭于晏还没结婚呢
用过都说爽,恭喜恭喜
午觉椰,卧槽
番烂茄不烂,恭喜哥[羞嗒嗒]
fanfansleepearly,恭喜
keniano,恭喜恭喜
余音不绝自在我心,祝你全家元宵快乐和和美美阿新晋奶爸，
_霏哥_,闷声干大事
改名会好运,这叫闷声干大事[并不简单]
綸語徵昩,恭喜老胡[泪]！！！！！
信仰_202209,终于有小胡了，撒花[打call][打call][打call][打call][打call]
好家伙泪,话说之前有个采访你喝酒抽烟那会你说抽烟没那么大的决心要戒烟，为了女儿会戒烟吗？还是就不在家里抽烟不让孩子吸二手烟
Grape-cat2,不是刘亦菲[允悲][允悲][允悲]
楠卿365,彭于晏急了[doge]
逍遥0920,晚安老胡@胡歌 [月亮][月亮][月亮]愿平安喜乐万事顺遂@胡歌 [羞嗒嗒][羞嗒嗒][羞嗒嗒]
可心女王_,哈哈
小西瓜不甜Hz,我心目中的男人该有的样子
黄永ove,歌哥给了大家一个惊吓
晔hhhhhjhhhghhh,轉發微博
唯zyf不可辜负,恭喜恭喜[打call]
七分醉三分醒200410,喜欢你这么多年，终于等来了。评论虽然慢了点但不重要，恭喜恭喜[打call]
My钟意意,那就恭喜童年男神啦[打call][打call][打call]
貓貓囍歡吻鮮埖,祝福
快手仙王,我靠，这么快？我还以为胡歌单身[允悲][允悲][允悲]唉，太难了
今天是爱胡歌的一天,老胡我也要结婚啦！知道你没空来！有空的话给我个祝福吧[心] 今天也是爱胡歌的一天[打call]
ymsh011,恭喜🎉
少年不戴花5555,你居然当爹了！！！！！！[泪]
·长情·,恭喜
natalie0310,小茉莉公主六一儿童节快乐[心]
孙汝稳,恭喜[打call]
宁馨YOYO,[打call][打call][打call]老大，恭喜恭喜新晋职称，奶爸一枚。我也新晋了一枚职称，妈妈。[打call][打call][打call]
bangsbhn,他老婆既然福建南平浦城[耶][耶][耶]
鑫机胖儿,时至今日，还是难以置信[允悲]
七月树荫,老大终于[泪] 真好  要幸福哦老大
山海皆来客,[doge][doge]
MENG_Fanx,恭喜恭喜🎉🎉🎉🎉
逍遥0920,晚安老胡[月亮][月亮][月亮]@胡歌
新晴LL,开心
仙女竟是自己,[太阳][太阳]
小小的事情要做好,恭喜
我是一只小小侠,恭喜恭喜🎉
你好胡歌,茉莉呀
柠檬起司团,[彩虹屁]
小蜗牛儿hihihi,图片评论 http://t.cn/A6pw7qYe
新晴LL,[打call]
hgmcs,恭喜恭喜，升级奶爸@胡歌
牟牟胡,晚安胡爸爸[爱你]
仙女竟是自己,[鲜花][鲜花][鲜花]
螺蛳粉的熙熙,恭喜恭喜[心]
EASYMONEY711,那刘亦菲是我的了[doge]
新晴LL,小茉莉健康快乐成长
A口可口可,我们男士怎么办嘛[允悲]
大约相遇是在冬季,恭喜🎊
hgmcs,小茉莉奶爸在哪里？是在国内还是法国啊！保密局本局的就是你[good]
1Li9n2Xi41ao,到现在还是没缓过来💥💥💥喜欢老胡从蒲公英到官宣当爸爸后娃娃的娘竟然是那个黄。。
叫我a娇,必须的长得像你 我们才安心
ariatianforever,又来看这条微博了嘿嘿，喜欢老大有10几年了，1月并没有评论，现在返回来想送上我真诚的祝福。看到那些说意难平的可能是为自己或者为别的什么，但是我1月看到这条消息的时候除了感叹就是开心，真的非常高兴哥能找到自己爱的人并且结婚生女了，做哥的女儿肯定很幸福，胡歌老大，一定要狠狠幸福下去！
吴家胡歌,520
1头无忧无虑的猪,恭喜恭喜  [打call][打call][打call]
新晴LL,[打call][打call][打call]
紫云Music,怎么可以背着彭于晏偷偷结婚呢[doge]
qiutian02,我的天啊，真是大惊喜啊，不过，恭喜恭喜啊[心]
胡作菲为2023,胡老大要一直幸福快乐下去，18年的遥灵粉，歌菲党，比女神提前步入下一个阶段恭喜[给力]。彭于晏还没结婚，我也不着急，暂存我的幸福，等我娶妻生子我要大声告诉他这是爸爸的青春童年，永远的男神[嘻嘻]
给我多加香菜-,到底什么样的人能嫁给胡歌[泪][泪][泪]
七分醉Kkkkkkkk,彭于晏哭晕在厕所
我的疯子郑容和,老胡 我以为我可以嫁给你的，没想到我等来的是你结婚了[泪]
zxt赵晓彤,爱你哦
天霸乆儿,哥 因为你这条微博 我把微博又下载回来了[doge]
蒲不住,[泪][泪][泪]
Dreamgirl-c,恭喜恭喜恭喜恭喜恭喜[打call][打call]
酒暖风清ABC,恭喜老胡啦
呗关的产物,恭喜恭喜，有人编“岁岁年年都是你”我觉得挺像你的口吻，来找出处的[允悲]。 从仙剑奇侠传一直喜欢你，我发现身边很多男生也特别喜欢你，把你当做头像[打call]。恭祝男神偶像阖家幸福，永远安康快乐[心]
陌子言520,老胡，恭喜，平安喜乐，幸福久久。
不长肉的瘦子哦,我不着急 彭于晏还没结婚呢[二哈]
只唱老歌,恭喜恭喜呀[打call]
等一千零一夜-,晚安[心]
滚滚滚滚滚201709,胡歌我爱你[doge]
英英是英英酱呐,恭喜🎉🎉🎉
努力拼搏的刘伟,老大[赞][赞][给力][给力]
光明县村口蘑菇头,春天温柔了九州山河，而你温柔了春天@胡歌
陈妍Renee,过去这么久了，胡歌老婆是圈外人，我等于圈外人，胡歌老婆等于我。[泪][泪][泪][泪]我真的做梦梦到过嫁给胡歌了，虽然我是两个孩子的妈妈了。不影响我移情别恋。
云奚yyan,天  你把你的妻女保护得好好[泪]恭喜[打call]
光明县村口蘑菇头,老大快出来[送花花]
凌晨5点多睡不着改的微博名,恭喜恭喜
yydd想见你,[爱你]恭喜老胡当爸爸
师尊代名词沐玄音,图片评论 http://t.cn/A6NmyZHR
SMJ听书人,[打call][打call]
我爱吃油炸淀粉肠,逍遥哥哥[泪]恭喜恭喜
我不想你知道我的微博名字,恭喜老胡！！！[心]
我不想你知道我的微博名字,恭喜恭喜🎉
慢慢的源哥哥丶,恭喜恭喜永远幸福
unless安乐死,cp被蒸煮手撕，内心是失落的，但还是祝福，毕竟从初中到崽三岁，爱了一整个青春[泪][泪][泪]
RomaryLxy,我女儿也是茉莉的茉[哈哈][哈哈][哈哈]
hgmcs,小茉莉的爸爸估计醒了吧，因为小茉莉不让你睡懒觉吧[哈哈][哈哈]
澜汐悦200,恭喜  老大
超喜欢吃蛋糕面包饼干巧克力,胡歌2023年发的第5条微博 http://t.cn/A6NQPrua
骨科小师妹,[泪]听到你的歌 瞬间就想到你这条微博了
爱吃菠萝蜜-,我胡啊 [心][心][心][心][心][心]
赢璃8023,[友幸][友幸][友幸][打call][打call][打call]
光明县村口蘑菇头,老大，好想你啊[哇]
逍遥0920,老胡的小茉莉百天啦[送花花][送花花][送花花]，晚安老胡[月亮][月亮][月亮]@胡歌
